Combination Number,Average Escape Time (s),Score
28,0.9211647673333333,100.0
8,0.9782007696666666,94.27999825081106
7,1.003102525,91.78266186261018
12,1.0067253586666667,91.41933669845781
34,1.0182581266666666,90.26274348655178
30,1.060808579,85.9954622638423
56,1.0746228853333333,84.61005912971838
27,1.1076871553333334,81.29412402735366
11,1.1140854676666667,80.65245286806318
63,1.1161693573333333,80.44346464920473
18,1.1164489743333335,80.41542254134878
39,1.117692073,80.29075520393283
15,1.126250696,79.4324317498355
42,1.148992761,77.15168544472249
3,1.1549828686666668,76.55095213717192
2,1.162371286,75.80998575906894
38,1.1810416540000002,73.93758002849428
59,1.1907061736666666,72.96834889137274
26,1.204290708,71.60598903146418
45,1.2084659576666668,71.18726341221304
41,1.2171964963333333,70.31169895464745
55,1.2192325593333333,70.10750715569573
14,1.2216006436666669,69.87001774594131
52,1.2410614173333334,67.91834415627868
6,1.2414508819999999,67.87928569349302
33,1.252788035,66.74231023346987
17,1.2614716529999999,65.87145133527777
29,1.2630039373333333,65.71778227173263
49,1.264835453,65.53410402661693
5,1.2661305106666667,65.40422584764953
10,1.266359917,65.38121924525353
62,1.2747200490000001,64.54280197007391
58,1.2763323783333334,64.38110538844752
22,1.285773516,63.434276688005696
31,1.290406561,62.969639889844565
57,1.3148205596666667,60.521219429695726
51,1.3176336286666668,60.23910359158786
40,1.3578455446666666,56.20634848168401
1,1.35898242,56.0923340236357
37,1.3671384176666665,55.27438888352815
24,1.3715274176666667,54.83422676398704
25,1.3982693353333335,52.15234497753152
54,1.39894948,52.0841349255665
48,1.4138865626666668,50.58613128776279
13,1.4338993073333333,48.57910187096752
32,1.434062783,48.562707294541596
21,1.4371389546666666,48.254205530843194
61,1.4518119493333332,46.78268663531004
43,1.4701186976666667,44.946747435422765
44,1.4739609243333334,44.561419881684486
35,1.4776173750000001,44.19472335048433
36,1.4833150546666667,43.62331693477549
9,1.4963539600000002,42.31567687826703
16,1.5025055726666665,41.69874662765057
47,1.5149119696666666,40.45453929126683
50,1.5367911816666666,38.26032641183901
53,1.5678000446666667,35.15052307106908
20,1.5770661990000001,34.221243022913505
4,1.5918850263333333,32.73509892445069
60,1.6313508509999999,28.77716749708299
46,1.6532719136666667,26.578757516232443
23,1.7058073203333333,21.310109544176658
19,1.9182973703333335,0.0
